"","YEAR","SERIAL","PERNUM","STATEFIP","RELATE","RELATED","MOMLOC","POPLOC","NCHILD","SEX","AGE","mother_age","father_age","MARST","married_dummy","RACE","HISPAN","EDUC","hs_binary","HHINCOME","inc_3cat","NUMPREC","FAMSIZE","PERWT"
"4432",2011,172866,1,6,1,101,2,0,0,2,55,85,NA,4,0,1,0,10,"High School or More",41830,"$20,000+",2,2,59
"4433",2011,172942,2,6,3,301,1,0,0,1,44,80,NA,6,0,1,0,10,"High School or More",18600,"< $20,000",2,2,67
"4434",2011,173014,1,6,1,101,5,4,0,1,64,87,87,1,1,1,0,6,"High School or More",79900,"$20,000+",5,5,28
"4435",2011,173014,3,6,7,701,5,4,0,1,60,87,87,4,0,1,0,6,"High School or More",79900,"$20,000+",5,5,40
"4436",2011,173030,3,6,3,301,2,1,0,1,60,85,86,6,0,1,0,7,"High School or More",83100,"$20,000+",3,3,185
"4437",2011,173147,2,6,3,301,0,1,0,1,51,NA,80,2,1,1,0,6,"High School or More",20100,"$20,000+",2,2,127
"4438",2011,173160,1,6,1,101,3,0,0,2,60,82,NA,1,1,1,0,7,"High School or More",425100,"$20,000+",3,3,108
"4439",2011,173202,2,6,3,301,1,0,0,1,48,89,NA,6,0,1,0,8,"High School or More",213400,"$20,000+",2,2,380
"4440",2011,173435,2,6,3,301,1,0,1,2,59,89,NA,6,0,1,0,11,"High School or More",92350,"$20,000+",5,3,115
"4441",2011,173619,2,6,2,201,3,0,0,2,52,89,NA,1,1,1,0,6,"High School or More",87400,"$20,000+",3,3,32
"4442",2011,173947,2,6,2,201,4,0,1,2,55,93,NA,1,1,1,0,10,"High School or More",202400,"$20,000+",4,4,38
"4443",2011,174180,2,6,3,301,0,1,0,1,63,NA,89,4,0,1,0,6,"High School or More",43400,"$20,000+",2,2,245
"4444",2011,174221,2,6,3,301,1,0,0,2,60,86,NA,4,0,1,0,11,"High School or More",34700,"$20,000+",2,2,176
"4445",2011,174759,2,6,3,301,1,0,0,1,56,93,NA,3,0,1,0,7,"High School or More",19400,"< $20,000",2,2,71
"4446",2011,174809,2,6,3,301,0,1,0,2,36,NA,87,6,0,1,0,7,"High School or More",33010,"$20,000+",2,2,147
"4447",2011,174864,1,6,1,101,0,3,0,2,46,NA,83,4,0,1,0,6,"High School or More",120300,"$20,000+",4,4,60
"4448",2011,174864,2,6,7,701,0,3,0,1,43,NA,83,4,0,1,0,7,"High School or More",120300,"$20,000+",4,4,104
"4449",2011,175003,1,6,1,101,2,0,0,1,50,87,NA,6,0,1,0,10,"High School or More",98600,"$20,000+",2,2,85
"4450",2011,175018,1,6,1,101,2,0,0,2,48,85,NA,6,0,1,0,6,"High School or More",38000,"$20,000+",2,2,356
